step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,12.90755279284561,0,0.0,0.9419383626697044,0,0.0,0.9408686997763732,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9463584827746732,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.939889147369215,0,0.0,0.9388563508377916,0,0.0,0.9384618280176853,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9479295545295989,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,12.86346039606906,0,0.0,0.9469157536426289,0,0.0,0.9478333523353533,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9496662742304216,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9462248109098244,0,0.0,0.942480268831809,0,0.0,0.9427574735446703,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8685388826692646,0,0.0,1.0,0,0.0
15.0,1,1.0,0.025,10.584697685731342,0,0.0,0.7776224249436315,0,0.0,0.723115653409253,0,0.0,1.0,0,0.0,1.0,0,0.0,0.5687952281240449,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9465745274402042,0,0.0,0.7449228852053398,1,1.0,0.7570686566649891,0,0.0,1.0,0,0.0,0.9501985989589027,0,0.0,1.0,0,0.0,0.9576915953904974,0,0.0,0.6950129971481602,1,1.0
20.0,5,19.0,0.3392857142857143,9.903751025749964,2,7.0,0.6694448331931591,2,7.0,0.6756735200096058,0,0.0,1.0,0,0.0,1.0,0,0.0,0.6583323706505833,0,1.0,0.37537954388829503,0,0.0,1.0,0,0.0,1.0,0,0.0,0.752034370901748,1,5.0,0.5623143548026188,0,0.0,0.9383041502065756,0,0.0,0.9370386143405558,0,0.0,0.9793691213041238,0,0.0,1.0,0,0.0,0.9273161218941944,0,0.0,0.9807414977106358,5,20.0
25.0,2,5.0,0.06944444444444445,9.8917969431731,0,4.0,0.6983815739294957,0,3.0,0.6335846179619424,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9536610145017742,0,3.0,0.8949058619252414,0,0.0,1.0,0,0.0,1.0,2,5.0,0.5364126611913751,0,3.0,0.627462543359489,0,2.0,0.841918006214517,0,4.0,0.8365015594896956,0,0.0,0.6924316815674713,0,4.0,0.47564026961463435,0,0.0,0.8593385260724495,0,0.0,0.7239902933160676,2,28.0
30.0,7,16.0,0.2,9.734694599844914,1,4.0,0.7032552694226719,2,4.0,0.6252081643447427,0,0.0,0.7078778176274139,0,0.0,1.0,0,0.0,0.6531576136785517,0,2.0,0.9189909948124189,0,0.0,1.0,0,0.0,1.0,0,4.0,0.5746095336972803,0,0.0,0.9212244480392687,1,5.0,0.7166177601363461,0,6.0,0.846275963170032,0,2.0,0.42534868672439036,0,4.0,0.901813657941961,1,4.0,0.5371039277943751,2,3.0,0.20904748412323984,7,38.0
35.0,9,26.0,0.2708333333333333,8.6683735717369,2,5.0,0.6035365507720452,1,7.0,0.46731926522412365,0,4.0,0.6568741871851003,0,0.0,1.0,3,9.0,0.5152195996170633,0,2.0,0.08837092373461242,0,0.0,0.9481053312956016,0,0.0,1.0,0,4.0,0.7831715938412352,0,0.0,0.962364268692605,3,15.0,0.6468667053159572,0,6.0,0.5516869381484584,0,4.0,0.8550404575350633,0,4.0,0.8696396957851988,0,0.0,0.6772040553332479,0,6.0,0.34012838898338726,9,66.0
40.0,16,68.0,0.6071428571428571,9.309328645243271,3,17.0,0.6467296722131964,3,20.0,0.6406505873750882,0,4.0,0.9339296547595343,0,0.0,0.9459624268279951,0,4.0,0.5698633469349702,4,22.0,0.16343096724396997,0,0.0,1.0,0,0.0,1.0,0,4.0,0.8689042349102972,0,0.0,0.960170586652527,1,11.0,0.3926474767080845,5,24.0,0.2712168591104274,0,4.0,0.8961033942774319,0,0.0,0.8786666202275326,0,0.0,0.9529791710550545,0,4.0,0.8884191572131988,16,114.0
45.0,16,65.0,0.5416666666666666,9.206731452698389,1,10.0,0.5281607453318996,5,42.0,0.566153856845041,0,4.0,0.8913080062971646,0,0.0,0.8707108675707182,0,0.0,0.9064436251897814,0,16.0,0.7419176463240514,0,2.0,0.792741397549991,0,0.0,0.943113180003313,2,5.0,0.6906786812329095,1,1.0,0.6640221473941811,5,27.0,0.34682948589067514,2,25.0,0.5122024323268815,0,2.0,0.7720444823635084,0,0.0,0.9679451735885213,0,0.0,0.7797966089346349,0,4.0,0.8776627070032776,16,138.0
